ott_id,organism_otol_class,cohort,domain,organism_otol_family,organism_otol_genus,infraclass,organism_otol_kingdom,no rank,organism_otol_order,organism_otol_phylum,section,subclass,subfamily,subgenus,suborder,subphylum,subtribe,superfamily,superorder,tribe,organism_otol_unique_name,organism_otol_class_ott_id,cohort_ott_id,domain_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,infraclass_ott_id,organism_otol_kingdom_ott_id_ott_id,no rank_ott_id,organism_otol_order_ott_id,organism_otol_phylum_ott_id,section_ott_id,subclass_ott_id,subfamily_ott_id,subgenus_ott_id,suborder_ott_id,subphylum_ott_id,subtribe_ott_id,superfamily_ott_id,superorder_ott_id,tribe_ott_id,flags,rank,organism_otol_species,organism_otol_species_ott_id
9996,Insecta,Holometabola,Eukaryota,Carabidae,Notiophilus,Neoptera,Metazoa,life,Coleoptera,Arthropoda,,Pterygota,Nebriinae,,Adephaga,Hexapoda,,Caraboidea,,Notiophilini,Notiophilus,1062253,1082885,304358,413454,9996,815350,691846,805080,865243,632179,,1048707,242164,,413458,568991,,829184,,281012,[],genus,nan,
31926,Magnoliopsida,,Eukaryota,Poaceae,Triticum,,Archaeplastida,life,Poales,Streptophyta,,Petrosaviidae,Pooideae,,,,Triticinae,,,Triticeae,Triticum aestivum,99252,,304358,508090,31937,,5268475,805080,921871,916750,,5308424,641464,,,,5759322,,,693954,[],species,Triticum aestivum,31926.0
46554,Magnoliopsida,,Eukaryota,Euphorbiaceae,Euphorbia,,Archaeplastida,life,Malpighiales,Streptophyta,Euphorbia sect. Helioscopia,,Euphorbioideae,Esula,,,,,,Euphorbieae,Euphorbia helioscopia,99252,,304358,914245,109494,,5268475,805080,429482,916750,5147170,,719243,5147159,,,,,,520955,[],species,Euphorbia helioscopia,46554.0
99252,Magnoliopsida,,Eukaryota,,,,Archaeplastida,life,,Streptophyta,,,,,,,,,,,Magnoliopsida,99252,,304358,,,,5268475,805080,,916750,,,,,,,,,,,['sibling_higher'],class,nan,
109494,Magnoliopsida,,Eukaryota,Euphorbiaceae,Euphorbia,,Archaeplastida,life,Malpighiales,Streptophyta,,,Euphorbioideae,,,,,,,Euphorbieae,Euphorbia,99252,,304358,914245,109494,,5268475,805080,429482,916750,,,719243,,,,,,,520955,[],genus,nan,
438123,Magnoliopsida,,Eukaryota,Papaveraceae,Papaver,,Archaeplastida,life,Ranunculales,Streptophyta,,,Papaveroideae,,,,,,,,Papaver,99252,,304358,438092,438123,,5268475,805080,872975,916750,,,5478993,,,,,,,,[],genus,nan,
494835,Magnoliopsida,,Eukaryota,Solanaceae,Solanum,,Archaeplastida,life,Solanales,Streptophyta,,,Solanoideae,,,,,,,Solaneae,Solanum tuberosum,99252,,304358,473827,1020645,,5268475,805080,1050255,916750,,,13867,,,,,,,1061420,['sibling_higher'],species,Solanum tuberosum,494835.0
502001,Magnoliopsida,,Eukaryota,Plantaginaceae,Veronica,,Archaeplastida,life,Lamiales,Streptophyta,,,,Cochlidiosperma,,,,,,Veroniceae,Veronica hederifolia,99252,,304358,1041309,507032,,5268475,805080,23736,916750,,,,4724590,,,,,,705593,[],species,Veronica hederifolia,502001.0
507032,Magnoliopsida,,Eukaryota,Plantaginaceae,Veronica,,Archaeplastida,life,Lamiales,Streptophyta,,,,,,,,,,Veroniceae,Veronica,99252,,304358,1041309,507032,,5268475,805080,23736,916750,,,,,,,,,,705593,[],genus,nan,
508090,Magnoliopsida,,Eukaryota,Poaceae,,,Archaeplastida,life,Poales,Streptophyta,,Petrosaviidae,,,,,,,,,Poaceae,99252,,304358,508090,,,5268475,805080,921871,916750,,5308424,,,,,,,,,[],family,nan,
510850,Magnoliopsida,,Eukaryota,Poaceae,Poa,,Archaeplastida,life,Poales,Streptophyta,,Petrosaviidae,Pooideae,,,,Poinae,,,Poeae,Poa annua,99252,,304358,508090,985636,,5268475,805080,921871,916750,,5308424,641464,,,,837414,,,415737,['sibling_higher'],species,Poa annua,510850.0
518943,Gastropoda,,Eukaryota,Limacidae,Deroceras,Pulmonata,Metazoa,life,Stylommatophora,Mollusca,,Heterobranchia,,,Sigmurethra,,,Limacoidea,,,Deroceras,409995,,304358,969371,518943,2914936,691846,805080,844843,802117,,178260,,,329706,,,955843,,,[],genus,nan,
625399,Magnoliopsida,,Eukaryota,Caryophyllaceae,Cerastium,,Archaeplastida,life,Caryophyllales,Streptophyta,,,,,,,,,,Alsineae,Cerastium fontanum,99252,,304358,317818,842191,,5268475,805080,216628,916750,,,,,,,,,,5920000,[],species,Cerastium fontanum,625399.0
661122,Gastropoda,,Eukaryota,Arionidae,Arion,Pulmonata,Metazoa,life,Stylommatophora,Mollusca,,Heterobranchia,,,Sigmurethra,,,Arionoidea,,,Arion,409995,,304358,1025557,661122,2914936,691846,805080,844843,802117,,178260,,,329706,,,955837,,,[],genus,nan,
793343,Magnoliopsida,,Eukaryota,Malvaceae,Pterygota (genus in kingdom Archaeplastida),,Archaeplastida,life,Malvales,Streptophyta,,,Sterculioideae,,,,,,,,Pterygota (genus in kingdom Archaeplastida),99252,,304358,279960,793343,,5268475,805080,229284,916750,,,996482,,,,,,,,[],genus,nan,
833644,Magnoliopsida,,Eukaryota,Brassicaceae,Capsella,,Archaeplastida,life,Brassicales,Streptophyta,,,,,,,,,,Camelineae,Capsella bursa-pastoris,99252,,304358,309271,833648,,5268475,805080,8844,916750,,,,,,,,,,504672,[],species,Capsella bursa-pastoris,833644.0
865243,Insecta,Holometabola,Eukaryota,,,Neoptera,Metazoa,life,Coleoptera,Arthropoda,,Pterygota,,,,Hexapoda,,,,,Coleoptera,1062253,1082885,304358,,,815350,691846,805080,865243,632179,,1048707,,,,568991,,,,,['sibling_higher'],order,nan,
941620,,,Eukaryota,,,,Metazoa,life,,Annelida,,,,,,,,,,,Annelida,,,304358,,,,691846,805080,,941620,,,,,,,,,,,[],phylum,nan,
991883,Magnoliopsida,,Eukaryota,Asteraceae,Cynara,,Archaeplastida,life,Asterales,Streptophyta,,,Carduoideae,,,,Carduinae,,campanulids,Cardueae,Cynara,99252,,304358,46248,991883,,5268475,805080,1042120,916750,,,527107,,,,627940,,596121,557760,[],genus,nan,
